datetime,p05,p25,p50,p75,p95
2026-08-15,0.13826592421073403,1.1088248095713826,1.8441459561706102,2.590021365205805,3.3596639065619502
2026-08-16,0.7885699511663722,1.3373984912318673,1.990067681254293,2.337149122056271,3.391281154752451
2026-08-17,0.7485424319776082,1.2811176483592601,1.7862699050494253,2.401876011625017,3.0017606664123893
2026-08-18,0,1.3442084514307253,1.7636300581879918,2.234054524923421,2.757875485822933
2026-08-19,0.5473359391976078,1.3338454107707707,1.8504258140518273,2.340352321646108,2.8942998179896637
2026-08-20,0.41562998738975465,1.1172193011596756,1.9151541807356713,2.5827059483859918,2.994474695852002
2026-08-21,0.5768271372087357,1.34725981153181,1.933056366744331,2.3895242200685156,3.1571402446698986
2026-08-22,0.7796721885515601,1.271669319381984,1.991180653110535,2.2753686346314117,3.162794855048155
2026-08-23,0.5717065810212316,1.1672712624380104,1.9102174048720602,2.267841084117444,2.989870203190569
2026-08-24,0.6903910302146546,1.2024132160176397,1.7851084496866794,2.1529461238135954,2.8260227043219324
2026-08-25,0.4845052356374251,1.3211822901518362,1.621470055183107,2.1608908269545326,2.860957306078764
2026-08-26,0.48668832748000945,0.9846020757982838,1.4088508341170791,2.1280016641543567,2.803903058255362
2026-08-27,0.2522279174393559,0.7715578084611828,1.616229583431282,2.27648751072592,2.8430030714725736
2026-08-28,0.3061476340389272,0.8987925495975861,1.6475902357318237,2.1390243895337164,3.0065860711025385
2026-08-29,0.08297794055208807,1.302061176845729,1.7330371515407523,2.3642525705469453,3.297665456623288
2026-08-30,0.07754024472673238,1.218997792791856,1.7012416589629389,2.3698107773589276,3.1137786028911685
2026-08-31,0.308483113784649,1.2592279700117042,1.98641336641359,2.301552953701403,3.044776416670132
2026-09-01,0.19903471340481427,1.374675972237645,2.0360505435938703,2.6280474718436833,3.1990920953989246
2026-09-02,0.9953549612167784,1.3357653809391588,1.8505478833912476,2.3184232915316185,3.164198966113993
2026-09-03,0.5879234379581506,1.1105978936566032,2.0125727649149785,2.585607561582008,2.746371721092319
2026-09-04,0.7570549082431696,1.3538052230209037,1.9321263305327774,2.5537516158322715,2.9067084333457713
2026-09-05,1.011480488504597,1.4806764508967567,1.9634290956501004,2.7588863879750276,3.454936231212789
2026-09-06,0.6826249870445628,1.449249490901947,2.0105499877770874,2.5287993730682654,3.0605900384812426
2026-09-07,0.7347626695138305,1.2895364693611029,2.0689911074536456,2.654270943455953,3.181934416716016
2026-09-08,0.8464784840103272,1.6281569308265982,1.8241094386669272,2.738706895651374,3.4167528775137237
2026-09-09,1.0292527143168146,1.5894326156188592,2.129486026950072,2.7523949500014133,3.7192581283403436
2026-09-10,1.1697882755196778,1.924336123468493,2.330207544090216,2.9129386580187497,3.3344632518414308
2026-09-11,1.179523438575722,1.6259761918290259,1.9619103957723185,2.834419824957248,3.5358087217274807
2026-09-12,0.9631454855470692,1.778100987459485,2.2858110684817223,2.8288456346853996,3.692278992347057
2026-09-13,1.1630569952936483,1.9094446893035246,2.3758155557419536,2.9212823077215964,3.4459308255703727
