datetime,p05,p25,p50,p75,p95
2026-08-25,0.3055063379452235,1.291197017284663,2.0265181639036682,2.772393572972624,3.5420361143397896
2026-08-26,0.98962462526701,1.5384531653455769,2.1911223553853207,2.5382037961856385,3.5923358288649503
2026-08-27,0.9632739662100004,1.4958491826093978,2.0010014393001594,2.6166075458634532,3.2164922006489016
2026-08-28,0.04129296771715607,1.5691934491150303,1.9886150558733497,2.459039522603832,2.9828604835157218
2026-08-29,0.7802071195793367,1.5667165911537166,2.083296994439419,2.5732235020280645,3.1271709983748806
2026-08-30,0.6547246235202725,1.3563139372908093,2.154248816870256,2.82180058451919,3.233569331982872
2026-08-31,0.8209521554521747,1.5913848297790465,2.1771813849877732,2.633649238313768,3.4012652629157794
2026-09-01,1.027947248453836,1.5199443792844658,2.239455713012894,2.5236436945369918,3.4110699149499144
2026-09-02,0.8234592801018731,1.4190239615187992,2.1619701039543795,2.5195937831992703,3.24162290227379
2026-09-03,0.9450869513725273,1.4571091371753773,2.03980437084475,2.4076420449707445,3.080718625479726
2026-09-04,0.741701285223827,1.5783783397384519,1.8786661047705844,2.418086876541129,3.118153355664639
2026-09-05,0.7460016424130317,1.2439153907312288,1.668164149050097,2.387314979087054,3.0632163731881397
2026-09-06,0.5133151799534627,1.0326450709753634,1.877316845945184,2.537574773240035,3.104090333986589
2026-09-07,0.5686913439947981,1.1613362595534673,1.9101339456877113,2.4015680994893454,3.2691297810580924
2026-09-08,0.3465505265309212,1.5657605753796406,1.996736550074728,2.6279519690808755,3.5613648551570796
2026-09-09,0.3387357552689889,1.4835628956770661,1.9658067618480122,2.634375880244157,3.37834370577645
2026-09-10,0.5736308239286576,1.5243756801557096,2.251561076557615,2.56670066384543,3.309924126814073
2026-09-11,0.4574258238200578,1.6401275823466803,2.3015021537029114,2.8934990819527133,3.464543705507965
2026-09-12,1.2608345859875139,1.601245005709918,2.116027508161957,2.5839029163023586,3.4296785908847465
2026-09-13,0.8531570677784831,1.375831523476939,2.277806394735284,2.850841191402335,3.011605350912635
2026-09-14,1.021769878397709,1.6185201931754452,2.1968413006873067,2.81846658598681,3.171423403500317
2026-09-15,1.275405226069262,1.744601188461424,2.2273538332147633,3.0228111255397048,3.7188609687774576
2026-09-16,0.9454889432321653,1.712113447089545,2.273413943964693,2.791663329255866,3.3234539946688475
2026-09-17,0.996296375698341,1.551070175545616,2.330524813638159,2.915804649640467,3.4434681229005273
2026-09-18,1.1064136900215333,1.8880921368378054,2.0840446446781313,2.998642101662581,3.676688083524931
2026-09-19,1.2873225812089923,1.8475024825110362,2.38755589384225,3.010464816893591,3.9773279952325216
2026-09-20,1.4257276041172204,2.1802754520660343,2.586146872687759,3.1688779866162906,3.590402580438973
2026-09-21,1.433068921181381,1.8795216744346845,2.215455878377979,3.087965307562907,3.78935420433314
2026-09-22,1.2140359722652005,2.0289914741776167,2.536701555199854,3.0797361214035313,3.9431694790651886
2026-09-23,1.411033769140092,2.157421463149969,2.623792329588398,3.1692590815680406,3.693907599416817
