datetime,observation,forecast_lower_95,forecast_lower_50,forecast_median,forecast_upper_50,forecast_upper_95,analysis_lower_95,analysis_lower_50,analysis_median,analysis_upper_50,analysis_upper_95,K,P_f,P_a
2026-07-23,NA,-0.10377377463250143,0.6855952262287968,1.0286626574099211,1.5923797397223947,2.4391582477359304,-0.10377377463250143,0.6855952262287968,1.0286626574099211,1.5923797397223947,2.4391582477359304,0,0.42796519415848694,0.42796519415848694
2026-07-24,NA,0.04910383622131648,0.7219097177533642,1.156323296285208,1.7781903968131187,2.3961971810708382,0.04910383622131648,0.7219097177533642,1.156323296285208,1.7781903968131187,2.3961971810708382,0,0.40631349498057945,0.40631349498057945
2026-07-25,NA,0.18215308763900373,0.7832400881459091,1.170527836046547,1.7912451071783595,2.3331241437816415,0.18215308763900373,0.7832400881459091,1.170527836046547,1.7912451071783595,2.3331241437816415,0,0.3945621532311511,0.3945621532311511
2026-07-26,NA,-0.09325132708123324,0.713559048773535,1.1095560545605139,1.5972842406459602,2.5938656001633844,-0.09325132708123324,0.713559048773535,1.1095560545605139,1.5972842406459602,2.5938656001633844,0,0.4190607270888048,0.4190607270888048
2026-07-27,NA,-0.227863628157697,0.528578163166871,1.13985732112853,1.5441806786308523,2.392372474590615,-0.227863628157697,0.528578163166871,1.13985732112853,1.5441806786308523,2.392372474590615,0,0.5153813486639405,0.5153813486639405
2026-07-28,NA,-0.2852346080253825,0.7210411049020429,1.2159301792605852,1.7110769910072703,2.6280347954682473,-0.2852346080253825,0.7210411049020429,1.2159301792605852,1.7110769910072703,2.6280347954682473,0,0.5673230631842575,0.5673230631842575
2026-07-29,NA,-0.07795459676693478,0.8234827142049692,1.3775923654901692,1.674228589360423,2.546922441172759,-0.07795459676693478,0.8234827142049692,1.3775923654901692,1.674228589360423,2.546922441172759,0,0.4263485510119767,0.4263485510119767
2026-07-30,NA,0.11375959586336742,0.7418560990376899,1.281923584714474,1.5150969871198363,2.191246992752074,0.11375959586336742,0.7418560990376899,1.281923584714474,1.5150969871198363,2.191246992752074,0,0.28531400552168534,0.28531400552168534
2026-07-31,NA,0.011454121423363495,0.7599558883341382,1.3270561721771728,1.804639770024288,2.365988824803036,0.011454121423363495,0.7599558883341382,1.3270561721771728,1.804639770024288,2.365988824803036,0,0.40835639474507385,0.40835639474507385
2026-08-01,NA,0.08017256068276807,0.9620874247873851,1.2732139932801343,1.936204574789147,2.826686149227722,0.08017256068276807,0.9620874247873851,1.2732139932801343,1.936204574789147,2.826686149227722,0,0.5302711471228593,0.5302711471228593
2026-08-02,NA,0.059572400280556326,0.8291765467800326,1.3013016002371671,1.989567235579267,2.914751485131278,0.059572400280556326,0.8291765467800326,1.3013016002371671,1.989567235579267,2.914751485131278,0,0.6489297462726258,0.6489297462726258
2026-08-03,NA,0.09661352717721339,0.7702347609789545,1.3048070241009997,2.096321890020829,2.829786071947893,0.09661352717721339,0.7702347609789545,1.3048070241009997,2.096321890020829,2.829786071947893,0,0.5846618261805588,0.5846618261805588
2026-08-04,NA,-0.4020912822187258,0.7644857820353917,1.2152879100397878,1.75190186776849,2.463531378290047,-0.4020912822187258,0.7644857820353917,1.2152879100397878,1.75190186776849,2.463531378290047,0,0.5618712291099253,0.5618712291099253
2026-08-05,NA,-0.29324883488945874,0.7659365103674671,1.2790795901774237,1.8549281191878255,2.9739108578023865,-0.29324883488945874,0.7659365103674671,1.2790795901774237,1.8549281191878255,2.9739108578023865,0,0.7258571231736854,0.7258571231736854
